unit,level,parent,unit_id,parent_id,lithology,age
TEIST FM,FORMATION,HEGRE GP,166,61.0,"The Teist Formation consists of interbedded sandstone, claystone and marl. The sandstones are dominantly very fine to fine-grained, dark red brown and calcareous. In addition white and pink, medium to coarse sandstone is present in the upper levels of the succession. Red marl forms the main argillaceous lithology with green and dark grey claystone as subordinate constituents. In the type well ( 33/12-5) the formation is a gradual coarsening upward succession with an upward increase in sandstone/ shale ratio. To the north, in the reference well ( 33/5-1), fine-grained sandstone is the dominant lithology throughout most of the formation except for the lowermost 24 m which consist of a red marl.",Probably early Triassic (?Scythian) in well 33/5-1 to late Triassic (Carnian) in well 33/12-5.
TEMPELFJORDEN GP,GROUP,,167,,"The Tempelfjorden Group is characterised by dark to light grey spiculites, spiculitic cherts, silicified skeletal limestones and fine-grained siliciclastics including marls, calcareous claystones, shales and silt/sandstones in the offshore areas. In the southwestern Hammerfest Basin ( 7120/12-4 and 7120/12-2) the group contains a significant proportion of coarse siliciclastics. Elsewhere in the Norwegian Barents Sea, spiculites and silicified skeletal carbonates dominate. The carbonates contain a fauna dominated by brachiopods, sponges, bryozoans and crinoids. The condensed development of the Miseryfjellet Formation on the Stappen High contains herringbone cross-bedded sandstones and highly condensed silicified skeletal limestones.",The Tempelfjorden Group is dated as late Artinskian to ?Tatarian in the onshore areas (Nakrem 1991; Mangerud 1994). Palynological data from cores 7128/12-U-01 and 7129/10-U-01 indicate a ?Kungurian to Kazanian (-?Tatarian) age for the group updip onthe Finnmark Platform (Mangerud 1994; Bugge et al. 1995). Palynomorphs from exploration wells indicate a general mid- to late Permian age for the group without permitting a more detailed internal zonation.
TETTEGRAS FM,FORMATION,BILLEFJORDEN GP,168,11.0,"The formation is dominated by alternating beds of fine-grained sandstone, siltstone, claystone and coal. The sediments are generally stacked to form less than 5 m thick fining upward units of supposed delta-plain or coastal flood-plain origin, separated by thicker units of fluvial sandstone and siltstone. Well logs suggest that the cored intervals are representative of the entire unit in this area.","In the type well (7128/6-1) the interval below 2251 m is assigned to the Viséan TC-NM Miospore zones of Clayton et al. (1977) whereas the upper part is dated as belonging to the VF Miospore Zone (Simon-Robertson 1992). Similar ages are reported from well 7128/4-1 (Geochem Group, 1994), whereas the formation is dated as belonging entirely to the TC-NM Miospore zones in the IKU cores 7027/10-U-02 and –03 (Bugge et al. 1995)."
TILJE FM,FORMATION,BÅT GP,169,22.0,Very fine to coarse-grained sandstones are interbedded with shales and siltstones. The sandstones are commonly moderately sorted with a high clay content and most beds are bioturbated. Shale clasts and coaly plant remains are common. Pure shale beds are rare; most of the finer grained interbeds are silty or sandy.,Sinemurian to Pliensbachian.
TOFTE FM,FORMATION,BÅT GP,170,22.0,"The Tofte Formation consists of moderately to poorly sorted coarse-grained sandstones which often show large-scale cross bedding. In the type section the quartz content is generally higher than 90%, although the sediment is texturally immature. Bioturbation occurs throughout the cored intervals, especially in zones of very poor sorting and high clay content.",Pliensbachian to Toarcian.
TOR FM,FORMATION,SHETLAND GP,171,143.0,"In the type well the formation consists of white to light grey, tan to pink, hard, chalky limestones. The formation is generally homogenous, or consists of alternating white, grey or beige, moderately hard to very hard, rarely soft, mudstones or wackestones, rarely packstones, chalks, chalky limestones or limestones. Occasional fine layers of soft grey-green or brown marl occur and also rare stringers of grey to green calcareous shales.",Late Campanian to Maastrichtian.
TORSK FM,FORMATION,SOTBAKKEN GP,172,154.0,"Light to medium grey or greenish-grey generally non-calcareous claystones dominate in the type well. Rare siltstone/limestone stringers occur throughout the section, and tuffaceous horizons are often seen in the lower parts of the unit.",Late Paleocene to Oligocene.
TRYGGVASON FM,FORMATION,SHETLAND GP,173,143.0,"The Tryggvason Formation consists generally of mudstones with interbedded limestones. Interbedded sandstones are common in the Agat area. The content of limestones relative to mudstones is generally lower in the northern part of the Viking Graben (from blocks 30/2 and 30/3 northwards) than in the southern part. At the transition between the Viking Graben and the Horda Platform (e.g. block 30/11, (Fig 5.36), the formation consists of limestone. The mudstones are light to dark grey, often calcareous, occasionally micaceous, glauconitic and pyritic. The limestones are white to light grey or brownish grey and argillaceous. The sandstones are clear to light grey, very fine to fine grained and cemented by calcite.",Early to Mid Turonian.
TUBÅEN FM,FORMATION,REALGRUNNEN SUBGP,174,128.0,"The formation is dominated by sandstones with subordinate shales and minor coals. Coals are most abundant near southeastern basinal margins, and die out to the northwest. The formation generally has a tripartite development, with a lower and upper sand-rich unit separated by a more shaly interval. Shale content increases towards the northwest where the Tubåen Formation may intercalate with a lateral shale equivalent.",The formation base is of late Rhaetian to early Hettangian age; the unit may locally extend upwards into the Sinemurian.
TUXEN FM,FORMATION,CROMER KNOLL GP,175,23.0,"The formation is dominated by white to greyish-pink, calcareous claystones and marlstones. Along some of the structural highs the marlstones grade into purer limestones. Generally, the formation terminates vertically upwards with a chalk sequence containing subordinate marlstone layers. This chalk is white to pale orange or yellowish-grey, occasionally greenish and reddish. The marlstones are generally light grey to greenish-grey or olive-grey, but may be reddish-brown in some wells.","Late Hauterivian to Late Barremian (Heilmann-Clausen 1987, Thomsen 1987)."
TY FM,FORMATION,ROGALAND GP,176,131.0,"The Ty Formation consists of clean sandstones, generally massive and clear to light grey in colour. Distally the sandstones are interbedded with dark grey shales, but the sandstone bodies tend to be clean.",Early Paleocene.
TYNE GP,GROUP,,177,,"Claystone is the dominant lithology of the Tyne Group sediments. These range in colour from grey to brownish black and contain frequent silty, sandy and calcareous horizons. The Tyne Group also includes a thicker, discrete sand unit occurring locally in the Central Graben which is named the Eldfisk Formation.",The group ranges in age from Callovian to Ryazanian.
UGLE FM,FORMATION,GIPSDALEN GP,178,51.0,"The formation is characterised by reddish-brown to brown conglomerates, coarse-grained sandstones and minor siltstones. In well 7120/2-1, the formation is dominated by approximately 10 metre thick fining-upward units of reddish brown coloured conglomerate to siltstone with light grey calcite nodules at the top (Fig 9.20). The pebbles are dominated by variously coloured volcanoclastic material with red- and grey coloured feldspar crystals. The core from 7029/03-U-02 consists of alternating fining-upward coarse pebbly sandstones and reddish brown and greyish green mottled siltstones (Fig 9.23). Sediments are more fine-grained in well 7120/12-4 and they mainly consist of reddish brown to brown mottled sandy siltstones with frequent light grey to greyish green calcareous nodules (Fig 9.22).","Dating of the formation is difficult because of its lack of fossils. However, a diverse palynomorph assemblage of late Serpukhovian to early Bashkirian age (SO-KV Zone) has been reported recently in well 7120/2-1 in the interval around 2420 m (Lindström, in press). The youngest age of the formation is suggested by the basal part of the overlying Falk Formation, dated as late Bashkirian in well 7120/2-1 (Stemmerik et al. 1998)."
ULA FM,FORMATION,VESTLAND GP,179,186.0,"In the type well the Ula Formation is a generally massive, fine to medium grained, grey sandstone. A thin, dark grey siltstone is present in the basal part of the formation. The sandstones are arkosic to subarkosic, glauconitic and micaceous. Sorting and angularity vary between individual units of the formation. Bivalve shells and belemnite debris occur, often concentrated in thin lag deposits. Thin, nodular calcite-cemented bands are common.","Oxfordian to Ryazanian. In the region of the Ula Field the sands are Oxfordian to Early Volgian in age. Around the fringes of the Jæren and Mandal Highs and locally on the Southern Vestland Arch, developments of the formation may be as young as Middle/Late Volgian or possibly Ryazanian."
ULV FM,FORMATION,BJARMELAND GP,181,12.0,"Dark fine-grained bioclastic limestones dominate the formation. The dominant microfacies are bryozoan-crinoidal wackestones and more rarely packstones. Additional faunal elements include siliceous sponges, brachiopods and rare fusulinids. The limestone is thinly bedded and often contains thin silt laminae. Shales and silty limestones are locally abundant and chert nodules occur locally. The formation includes thin, less than 15 m, units of coarser grained bioclastic limestone that lithologically resemble the overlying Isbjørn Formation’s dominant lithologies.",Fusulinids suggest a mid-Sakmarian to Artinskian age (Davydov 2000).
UTSIRA FM,FORMATION,NORDLAND GP,183,113.0,"The formation consists of marine sandstones and claystones. The sandstones are clear to white, often light greenish and normally very fine to fine grained, in places medium to very coarse grained. Occasionally rock fragments and lignite are found. The sandstones are separated by soft, plastic, light greenish claystones and minor siltstones. Glauconite and fossil fragments are common throughout.",Middle to Late Miocene.
VADE FM,FORMATION,HORDALAND GP,184,67.0,"The formation consists of thinly interbedded, light green to grey, very fine grained sandstones and silt-stones. These are glauconitic, slightly micaceous and well sorted. Fossils are present. Reference well 2/3-2 shows that the formation interfingers with the claystones of the Hordaland Group (Fig 5.68).",Late Oligocene.
VESTLAND GP,GROUP,,186,,"The lower part of the group consists of a predominantly sandy deltaic sequence with shaly and silty layers and coal horizons. In the deeper parts of the basins the sequence seems to be influenced by marine conditions with thicker and more homogeneous sands. The upper portion of the group generally consists of fairly clean, marine sands with minor shale interbeds.","The group ranges from Bajocian to Volgian, or possibly Ryazanian."
VIDAR FM,FORMATION,ROGALAND GP,187,131.0,"Homogenous limestone is the dominant lithology, but streaks of skeletal detritus and clasts of sandstone occur.",Early Paleocene.
VIKING GP,GROUP,,188,,"In the type area the group consists of dark, grey to black, marine mudstones, claystones and shales. Locally these argillaceous sediments are replaced by sandstones and occasionally conglomerates (see Intra Draupne Formation sandstone and Intra Heather Formation sandstone in the NPD-factpages).","In the North Sea the group ranges from Bathonian to Ryazanian in age. The group is approximately time equivalent to the Boknfjord Group of the Norwegian-Danish Basin (Norwegian sector), and the Tyne Group of the Central Graben (Norwegian sector)."
VÅLE FM,FORMATION,ROGALAND GP,190,131.0,"The Våle Formation typically consists of marls and claystones interbedded with limestone beds and stringers of sandstone and siltstone. In the Central Trough, the formation is developed as a light grey marl, but locally has chalk and limestone interbeds probably eroded from rising diapirs. It also contains carbonate layers in the southern Viking Graben area.",Early Paleocene.
ZECHSTEIN GP,GROUP,,194,,"Evaporates and carbonates with local clastic rocks. Halites dominate the basin-centre sequences, while limestones, dolomites and anhydrates prevail along the basin margins. Well 17/4-1 shows a thick halite-rich section which is not significantly distorted by halokinesis. The top and bottom boundaries of the Zechstein Group is conformable in this well and the cyclic nature of Zechstein deposition recognised in Germany and the Southern North Sea Basin can also be tentatively recognised.",Late Permian.
ØRN FM,FORMATION,GIPSDALEN GP,195,51.0,"The formation is dominated by shallow marine carbonates on the platform areas and interbedded carbonates and evaporites in the more distal ramp to basinal settings. The carbonates contain a warm-water biota dominated by small foraminifers, fusulinids and calcareous algae and with abundant fragments of Palaeoaplysina (Fig 9.36a , 9.36b , 9.36c , 9.37). Crinoids, bryozoans, brachiopods and corals are also present. Siliciclastics are rare in the Ørn Formation and the vast bulk of its rhythmic development is characterised by pure carbonates, or more distally, carbonates and evaporites - in contrast to the mixed siliciclastics and carbonates of the underlying Falk Formation. A temporary return to mixed carbonates and shales near the top of the formation is characterised by a gamma ray peak on the logs. In well 7128/6-1, the lower part of the formation consists of rhythms of dolomitic mudstone and bryozoan wackestone with minor thin shales (Fig 9.30 , 9.31 , 9.36a , 9.36b , 9.36c , 9.37). This is followed by a succession of Palaeoaplysina-dominated buildups interbedded with fusulinid-dominated wackestone, overlain by an interval dominated by dolomitic mudstone with abundant anhydrite nodules. The upper part of the formation in this well consists of a thick unit dominated by foraminifer- and algal-rich packstones and grainstones overlain by cyclic deposited shales and crinoid-dominated silty wackestones that gradually pass up into foraminifer-dominated packstones and grainstones. The same spectrum of shallow marine carbonate facies is seen in cores from 7120/2-1, 7128/4-1, 7029/03-U-02, 7030/03-U-01, 7129/10-U-01 and 7129/10-U-02, suggesting a fairly uniform development on the platforms. In addition more than 5 m thick beds of massive to laminated anhydrite occur in 7029/03-U-02 and 7030/03-U-01 and native sulphur is locally present between 20 m and 35 m in 7029/03-U-02. In well 7226/11-1 the lower part of the Ørn Formation consists of light grey to medium dark brownish grey dolomitic mudstones to packstones. These are interbedded with light grey to white massive anhydrite that increases in abundance upward to 4392.5m. Above this level rhythms of dark greyish-green calcareous shale and light grey fossiliferous limestone with chert nodules dominate. This unit is equivalent to the upper part of 7128/6-1. Log correlation suggests that the development in well 7226/11-1 resembles that of other distally located wells such as 7121/1-1 R and 7124/3-1. Well 7228/9-1 S cored thin dolomite and anhydrite beds in halite-dominated sediments.",Fusulinid data from the type well 7128/6-1 indicate a late Gzelian to early Sakmarian age for the Ørn Formation at this locality (Ehrenberg et al. 1998a). In core 7030/03-U-01 the base of the formation correlates to the Kasimovian-Gzelian boundary and in 7029/03-U-02 the lower part of the formation is of middle Gzelian age (Stemmerik et al. 1995). The top of the formation is dated as early Sakmarian in core 7129/10-U-02 (Bugge et al. 1995). The base is somewhat older in 7120/2-1 where fusulinids indicative of a late Moscovian age occur in the basal part of the formation (Stemmerik et al. 1998).
ØRRET FM,FORMATION,TEMPELFJORDEN GP,196,167.0,"The formation is dominated by siliciclastic sediments and includes sandstones, siltstones and shales. The more fine-grained lithologies dominate. The sandstones (Fig 9.62), appear as isolated thin beds, or as up to 35 m thick sandy units, or in intervals with numerous thin sandstone beds separated by shales. The sandstones are particularly common in the upper part of the Ørret Formation in 7120/12-2 (Fig 9.58), and 7120/12-4. On the Loppa High and further eastward, organic rich shales become progressively more important. Coal fragments are reported from some levels in association with sandstones. The siliciclastics are, in contrast to those of the Røye Formation, not silicified. Thin limestone beds are rare in the formation.",A ?Kungurian to ?Tatarian age is suggested by correlation to lateral equivalents.
ÅRE FM,FORMATION,BÅT GP,197,22.0,"Alternating sandstones and claystones are interbedded with coals and coaly claystones. The claystones are grayish or locally red brown and non-calcareous to very calcareous. The sandstones are grayish, very fine to coarse-grained and predominantly moderately to poorly sorted. The coals in the type well are dark brown to black, vitreous, brittle and locally pyritic.",Rhaetian to Pliensbachian.
ÅSGARD FM,FORMATION,CROMER KNOLL GP,198,23.0,"The formation is dominated by light to dark grey, olive-grey, greenish and brownish, often calcareous claystones, and passes into light grey, light greenish-grey and light olive-grey marlstones and stringers of limestone. Mica, pyrite and glauconite are common. The claystones may be silty, and siltstones or very fine-grained sandstone layers or laminae are present. Where major sandstone layers occur they are regarded as belonging to the Ran sandstone units. In a few Norwegian wells in the central North Sea (e.g. 1/9-3 R, 2/3-1, 2/7-2, 2/10-1 S, 2/11-1, 7/3-1, 7/8-2, 7/12-4, 7/12-5 and 8/1-1) a sequence of calcareous claystone, marlstone and limestone interbeds is recognised as the basal part of the Åsgard Formation (Fig 5.12 , 5.14). This sequence is very difficult to correlate in the Norwegian sector, even over small distances, and is therefore regarded as representing local variations in the lowermost part of the Åsgard Formation. In the Danish sector this sequence is defined as the Leek Member (Jensen et al. 1986).","Where the Tuxen Formation occurs, the Åsgard Formation ranges in age from Late Ryazanian to Late Hauterivian. In areas where neither the Tuxen nor Sola formations are recognised, the Åsgard Formation represents a lateral equivalent and may reach Late Aptian to Early Albian age."
